iter	Passed	Remaining
0	62	62265
1	68	34122
2	71	23864
3	75	18683
4	78	15561
5	81	13421
6	88	12554
7	92	11423
8	97	10694
9	101	10022
10	104	9413
11	108	8942
12	112	8515
13	115	8161
14	119	7843
15	122	7550
16	126	7290
17	130	7105
18	133	6908
19	136	6707
20	140	6567
21	144	6442
22	148	6297
23	152	6186
24	155	6074
25	159	5984
26	163	5892
27	167	5809
28	171	5748
29	175	5672
30	178	5587
31	182	5523
32	185	5442
33	189	5396
34	193	5344
35	197	5288
36	200	5221
37	203	5151
38	206	5087
39	209	5024
40	213	4983
41	215	4920
42	218	4864
43	221	4814
44	224	4766
45	227	4726
46	231	4686
47	233	4640
48	236	4589
49	239	4551
50	242	4512
51	245	4471
52	248	4446
53	251	4407
54	255	4383
55	258	4352
56	261	4323
57	265	4310
58	267	4271
59	271	4254
60	274	4222
61	277	4202
62	281	4192
63	284	4164
64	287	4139
65	290	4117
66	293	4088
67	296	4067
68	299	4043
69	303	4026
70	306	4003
71	308	3980
72	312	3969
73	316	3956
74	319	3940
75	322	3920
76	325	3902
77	328	3881
78	331	3861
79	334	3841
80	337	3829
81	341	3819
82	344	3804
83	346	3775
84	349	3762
85	352	3749
86	355	3734
87	358	3714
88	360	3694
89	363	3675
90	366	3665
91	369	3649
92	373	3640
93	378	3649
94	381	3635
95	384	3618
96	386	3601
97	389	3584
98	392	3571
99	396	3567
100	399	3553
101	404	3558
102	412	3589
103	415	3576
104	418	3567
105	421	3554
106	424	3543
107	427	3531
108	430	3519
109	433	3511
110	436	3497
111	439	3487
112	443	3477
113	446	3468
114	450	3463
115	453	3453
116	456	3443
117	459	3433
118	462	3423
119	466	3417
120	469	3410
121	472	3402
122	475	3392
123	478	3382
124	481	3373
125	485	3366
126	487	3354
127	490	3341
128	493	3329
129	496	3320
130	499	3313
131	502	3305
132	505	3296
133	508	3287
134	511	3278
135	514	3270
136	517	3261
137	520	3251
138	523	3242
139	526	3234
140	529	3226
141	533	3220
142	536	3213
143	539	3205
144	541	3195
145	544	3187
146	549	3189
147	552	3182
148	556	3179
149	559	3172
150	563	3166
151	566	3160
152	569	3152
153	572	3143
154	574	3134
155	577	3126
156	580	3119
157	584	3113
158	587	3107
159	590	3101
160	595	3102
161	599	3099
162	602	3094
163	607	3098
164	612	3098
165	615	3092
166	618	3085
167	621	3079
168	624	3071
169	628	3067
170	631	3060
171	633	3049
172	637	3045
173	640	3039
174	643	3034
175	646	3028
176	649	3020
177	652	3015
178	655	3006
179	658	3001
180	662	2996
181	665	2992
182	670	2992
183	673	2987
184	677	2982
185	680	2978
186	684	2974
187	687	2969
188	690	2964
189	694	2959
190	697	2953
191	700	2948
192	703	2942
193	707	2938
194	711	2935
195	714	2929
196	718	2929
197	721	2923
198	725	2918
199	729	2916
200	732	2910
201	735	2905
202	738	2898
203	742	2896
204	745	2891
205	748	2885
206	752	2883
207	756	2879
208	759	2875
209	764	2874
210	767	2869
211	771	2865
212	774	2862
213	777	2856
214	781	2853
215	785	2850
216	787	2841
217	791	2839
218	794	2833
219	797	2829
220	800	2823
221	804	2817
222	808	2815
223	811	2809
224	813	2803
225	817	2798
226	820	2794
227	824	2793
228	828	2788
229	831	2783
230	834	2777
231	837	2771
232	841	2768
233	844	2762
234	847	2757
235	850	2752
236	853	2747
237	857	2744
238	859	2736
239	862	2731
240	865	2726
241	869	2721
242	873	2720
243	876	2714
244	879	2710
245	882	2706
246	886	2701
247	890	2700
248	893	2694
249	896	2690
250	900	2686
251	903	2681
252	906	2677
253	910	2674
254	913	2669
255	917	2666
256	921	2665
257	924	2660
258	927	2654
259	931	2649
260	934	2645
261	937	2641
262	940	2635
263	943	2631
264	946	2626
265	950	2621
266	953	2616
267	956	2612
268	959	2608
269	961	2600
270	965	2596
271	968	2591
272	971	2586
273	974	2581
274	977	2577
275	980	2572
276	983	2566
277	986	2561
278	989	2557
279	992	2552
280	995	2547
281	999	2543
282	1001	2538
283	1005	2535
284	1008	2530
285	1011	2525
286	1014	2521
287	1018	2517
288	1021	2512
289	1024	2507
290	1027	2502
291	1030	2499
292	1033	2493
293	1036	2488
294	1039	2484
295	1042	2480
296	1046	2476
297	1048	2471
298	1051	2465
299	1054	2461
300	1058	2457
301	1061	2454
302	1065	2450
303	1068	2445
304	1070	2440
305	1074	2435
306	1076	2430
307	1079	2426
308	1082	2421
309	1086	2418
310	1089	2413
311	1092	2409
312	1095	2404
313	1097	2398
314	1100	2393
315	1104	2390
316	1106	2384
317	1109	2379
318	1112	2374
319	1115	2370
320	1117	2364
321	1120	2360
322	1123	2354
323	1127	2352
324	1131	2349
325	1134	2344
326	1138	2343
327	1142	2341
328	1146	2338
329	1150	2336
330	1154	2334
331	1157	2329
332	1161	2327
333	1165	2323
334	1168	2320
335	1171	2315
336	1176	2315
337	1181	2313
338	1185	2311
339	1188	2307
340	1191	2302
341	1194	2298
342	1197	2293
343	1200	2289
344	1204	2286
345	1207	2282
346	1210	2278
347	1213	2274
348	1217	2270
349	1220	2265
350	1222	2261
351	1226	2257
352	1229	2252
353	1232	2248
354	1235	2245
355	1238	2240
356	1241	2236
357	1244	2231
358	1247	2226
359	1249	2222
360	1253	2218
361	1255	2213
362	1258	2208
363	1261	2204
364	1265	2200
365	1268	2196
366	1271	2192
367	1274	2189
368	1277	2184
369	1281	2181
370	1284	2177
371	1287	2174
372	1290	2169
373	1293	2164
374	1295	2159
375	1298	2154
376	1301	2150
377	1304	2146
378	1307	2142
379	1310	2138
380	1313	2134
381	1317	2131
382	1320	2127
383	1323	2122
384	1326	2118
385	1329	2114
386	1331	2109
387	1334	2105
388	1337	2100
389	1340	2097
390	1344	2094
391	1347	2090
392	1351	2087
393	1354	2083
394	1358	2080
395	1360	2075
396	1364	2071
397	1366	2067
398	1369	2062
399	1371	2057
400	1374	2053
401	1377	2049
402	1380	2045
403	1383	2041
404	1387	2037
405	1390	2033
406	1393	2029
407	1396	2026
408	1399	2021
409	1401	2017
410	1404	2012
411	1406	2007
412	1409	2002
413	1412	1998
414	1414	1994
415	1417	1990
416	1420	1986
417	1423	1982
418	1426	1978
419	1429	1974
420	1432	1969
421	1435	1965
422	1438	1962
423	1441	1957
424	1444	1954
425	1447	1950
426	1450	1946
427	1453	1942
428	1456	1939
429	1460	1935
430	1463	1931
431	1466	1927
432	1468	1923
433	1471	1918
434	1474	1914
435	1477	1910
436	1479	1906
437	1482	1902
438	1485	1898
439	1488	1894
440	1491	1890
441	1494	1886
442	1497	1882
443	1500	1878
444	1503	1875
445	1506	1871
446	1509	1867
447	1512	1863
448	1515	1859
449	1517	1855
450	1520	1850
451	1523	1847
452	1527	1844
453	1530	1840
454	1532	1836
455	1536	1832
456	1539	1828
457	1542	1825
458	1545	1821
459	1548	1817
460	1551	1814
461	1554	1810
462	1558	1807
463	1561	1803
464	1564	1799
465	1567	1796
466	1571	1793
467	1574	1789
468	1577	1786
469	1580	1782
470	1583	1778
471	1585	1774
472	1588	1770
473	1591	1766
474	1595	1763
475	1598	1759
476	1601	1755
477	1604	1752
478	1607	1747
479	1609	1743
480	1612	1739
481	1615	1735
482	1618	1732
483	1621	1728
484	1624	1725
485	1627	1721
486	1629	1717
487	1632	1712
488	1635	1709
489	1638	1705
490	1641	1701
491	1644	1698
492	1648	1694
493	1650	1690
494	1653	1687
495	1656	1683
496	1659	1679
497	1662	1675
498	1664	1671
499	1667	1667
500	1670	1663
501	1672	1659
502	1675	1655
503	1678	1651
504	1681	1648
505	1684	1644
506	1687	1640
507	1689	1636
508	1692	1632
509	1694	1628
510	1697	1624
511	1700	1621
512	1703	1617
513	1706	1613
514	1709	1610
515	1712	1606
516	1715	1602
517	1718	1598
518	1721	1595
519	1724	1591
520	1727	1588
521	1730	1584
522	1733	1581
523	1735	1576
524	1739	1573
525	1742	1570
526	1745	1566
527	1747	1562
528	1750	1558
529	1753	1554
530	1756	1551
531	1759	1547
532	1762	1544
533	1765	1540
534	1768	1536
535	1771	1533
536	1774	1530
537	1777	1526
538	1780	1523
539	1783	1519
540	1786	1515
541	1788	1511
542	1791	1507
543	1794	1504
544	1797	1500
545	1800	1496
546	1802	1492
547	1805	1489
548	1808	1485
549	1811	1481
550	1814	1478
551	1816	1474
552	1819	1471
553	1822	1467
554	1825	1463
555	1828	1460
556	1831	1456
557	1835	1453
558	1838	1450
559	1841	1446
560	1843	1442
561	1846	1439
562	1849	1435
563	1851	1431
564	1855	1428
565	1858	1425
566	1862	1422
567	1865	1418
568	1868	1414
569	1870	1411
570	1873	1407
571	1876	1404
572	1880	1401
573	1883	1397
574	1886	1394
575	1888	1390
576	1891	1386
577	1894	1382
578	1897	1379
579	1900	1376
580	1904	1373
581	1906	1369
582	1909	1365
583	1912	1362
584	1915	1359
585	1919	1355
586	1922	1352
587	1925	1349
588	1928	1345
589	1931	1342
590	1935	1339
591	1937	1335
592	1940	1332
593	1943	1328
594	1946	1325
595	1949	1321
596	1952	1318
597	1955	1314
598	1959	1311
599	1962	1308
600	1965	1304
601	1969	1301
602	1972	1298
603	1975	1295
604	1978	1291
605	1981	1288
606	1984	1284
607	1987	1281
608	1989	1277
609	1992	1273
610	1995	1270
611	1997	1266
612	2000	1262
613	2003	1259
614	2006	1255
615	2009	1252
616	2012	1249
617	2014	1245
618	2018	1242
619	2021	1239
620	2024	1235
621	2027	1231
622	2029	1228
623	2032	1224
624	2035	1221
625	2039	1218
626	2041	1214
627	2044	1211
628	2047	1207
629	2050	1204
630	2052	1200
631	2055	1196
632	2058	1193
633	2061	1190
634	2064	1186
635	2067	1183
636	2070	1179
637	2073	1176
638	2076	1173
639	2080	1170
640	2083	1166
641	2086	1163
642	2089	1160
643	2092	1156
644	2094	1152
645	2097	1149
646	2100	1145
647	2102	1142
648	2106	1139
649	2109	1135
650	2112	1132
651	2115	1129
652	2118	1125
653	2120	1122
654	2124	1118
655	2127	1115
656	2130	1112
657	2134	1109
658	2137	1105
659	2140	1102
660	2142	1099
661	2146	1095
662	2148	1092
663	2151	1088
664	2155	1085
665	2158	1082
666	2161	1079
667	2164	1075
668	2167	1072
669	2170	1069
670	2173	1065
671	2177	1062
672	2180	1059
673	2184	1056
674	2187	1053
675	2190	1050
676	2193	1046
677	2196	1043
678	2199	1039
679	2202	1036
680	2206	1033
681	2209	1030
682	2212	1026
683	2215	1023
684	2217	1019
685	2220	1016
686	2223	1013
687	2226	1009
688	2229	1006
689	2233	1003
690	2235	999
691	2238	996
692	2241	993
693	2244	989
694	2247	986
695	2251	983
